NAICS,Description of NAICS,Set-Aside
335312,Motor and Generator Manufacturing,EDWOSB
335313,Switchgear and Switchboard Apparatus Manufacturing,EDWOSB
335314,Relay and Industrial Control Manufacturing,EDWOSB
335911,Storage Battery Manufacturing,WOSB
335912,Primary Battery Manufacturing,WOSB
335921,Fiber Optic Cable Manufacturing,WOSB
335929,Other Communication and Energy Wire Manufacturing,WOSB
335931,Current-Carrying Wiring Device Manufacturing,WOSB
335932,Noncurrent-Carrying Wiring Device Manufacturing,WOSB
335991,Carbon and Graphite Product Manufacturing,WOSB
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,WOSB
336111,Automobile Manufacturing,WOSB
336112,Light Truck and Utility Vehicle Manufacturing,WOSB
336120,Heavy Duty Truck Manufacturing,WOSB
336211,Motor Vehicle Body Manufacturing,WOSB
336212,Truck Trailer Manufacturing,WOSB
336213,Motor Home Manufacturing,WOSB
336214,Travel Trailer and Camper Manufacturing,WOSB
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,WOSB
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,WOSB
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,WOSB
336340,Motor Vehicle Brake System Manufacturing,WOSB
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,WOSB
336360,Motor Vehicle Seating and Interior Trim Manufacturing,WOSB
336370,Motor Vehicle Metal Stamping,WOSB
336390,Other Motor Vehicle Parts Manufacturing,WOSB
336411,Aircraft Manufacturing,WOSB
336412,Aircraft Engine and Engine Parts Manufacturing,WOSB
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,WOSB
336414,Guided Missile and Space Vehicle Manufacturing,WOSB
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,WOSB
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,WOSB
336611,Ship Building and Repairing,WOSB
336612,Boat Building,WOSB
336991,"Motorcycle, Bicycle, and Parts Manufacturing",WOSB
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",WOSB
336999,All Other Transportation Equipment Manufacturing,WOSB
337110,Wood Kitchen Cabinet and Countertop Manufacturing,WOSB
337121,Upholstered Household Furniture Manufacturing,WOSB
337122,Nonupholstered Wood Household Furniture Manufacturing,WOSB
337124,Metal Household Furniture Manufacturing,WOSB
337125,Household Furniture (except Wood and Metal) Manufacturing,WOSB
337127,Institutional Furniture Manufacturing,WOSB
337211,Wood Office Furniture Manufacturing,WOSB
337212,Custom Architectural Woodwork and Millwork Manufacturing,WOSB
337214,Office Furniture (except Wood) Manufacturing,WOSB
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",WOSB
337910,Mattress Manufacturing,EDWOSB
337920,Blind and Shade Manufacturing,EDWOSB
339112,Surgical and Medical Instrument Manufacturing,WOSB
339113,Surgical Appliance and Supplies Manufacturing,WOSB
339114,Dental Equipment and Supplies Manufacturing,WOSB
339115,Ophthalmic Goods Manufacturing,WOSB
339116,Dental Laboratories,WOSB
